671 markers:
  type 0 ((type 0)): 0 markers
  type 1 ((type 1)): 0 markers
  type 2 ((type 2)): 0 markers
  type 3 ((type 3)): 1 markers
  type 4 ((type 4)): 24 markers
  type 5 ((type 5)): 39 markers
  type 6 ((type 6)): 79 markers
  type 7 ((type 7)): 42 markers
  type 8 ((type 8)): 0 markers
  type 9 ((type 9)): 0 markers
  type 10 ((type 10)): 0 markers
  type 11 ((type 11)): 4 markers
  type 12 ((type 12)): 131 markers
  type 13 ((type 13)): 196 markers
  type 14 ((type 14)): 23 markers
  type 15 ((type 15)): 0 markers
  type 16 ((type 16)): 4 markers
  type 17 (neighbourhood): 13 markers
  type 18 (engage tip sms): 56 markers
  type 19 (money pickup): 59 markers
  type 20 ((type 20)): 0 markers
type 0 ((type 0)) markers:
type 1 ((type 1)) markers:
type 2 ((type 2)) markers:
type 3 ((type 3)) markers:
  structsize 116 areaMin (-1795.22, -2318.09) areaMax ( 2288.66,   331.65) position (-1334.23,  -213.86) radius 6
type 4 ((type 4)) markers:
  structsize 108 areaMin ( -703.54,   552.25) areaMax ( -608.12,   655.91) position ( -636.95,   565.29) radius 5
  structsize 108 areaMin (-1359.39,   299.51) areaMax (-1264.04,   391.88) position (-1349.45,   324.34) radius 5
  structsize 108 areaMin (-1507.08,   626.71) areaMax (-1379.29,   731.42) position (-1379.29,   655.08) radius 5
  structsize 108 areaMin (-1046.71,   744.83) areaMax ( -919.78,   860.15) position ( -936.87,   836.20) radius 5
  structsize 108 areaMin ( -517.18,   686.66) areaMax ( -451.03,   740.38) position ( -489.37,   736.33) radius 5
  structsize 108 areaMin ( -907.54,  -891.59) areaMax ( -864.43,  -854.95) position ( -881.24,  -891.16) radius 5
  structsize 108 areaMin ( -739.04,  -891.70) areaMax ( -700.61,  -864.43) position ( -726.48,  -891.50) radius 5
  structsize 108 areaMin ( -419.62,    -0.32) areaMax ( -328.06,    81.93) position ( -375.54,    10.86) radius 5
  structsize 108 areaMin (  617.72,  -162.86) areaMax (  714.72,   -67.62) position (  661.20,  -156.98) radius 5
  structsize 108 areaMin ( -100.96, -1503.24) areaMax (   -0.76, -1437.84) position (   -0.76, -1461.22) radius 5
  structsize 108 areaMin (  826.65, -1215.11) areaMax (  859.58, -1196.17) position (  835.97, -1215.11) radius 5
  structsize 108 areaMin (  687.91, -1243.68) areaMax (  767.48, -1157.40) position (  726.67, -1241.64) radius 5
  structsize 108 areaMin (  442.35, -1559.88) areaMax (  487.29, -1519.81) position (  452.07, -1530.01) radius 5
  structsize 108 areaMin (  120.69, -1618.47) areaMax (  151.12, -1604.13) position (  140.63, -1604.13) radius 5
  structsize 108 areaMin (   11.22, -1744.73) areaMax (   59.49, -1685.97) position (   53.19, -1708.00) radius 5
  structsize 108 areaMin (  328.64,  -787.24) areaMax (  374.38,  -753.24) position (  329.90,  -779.27) radius 5
  structsize 108 areaMin (  316.46,  -766.68) areaMax (  376.90,  -723.03) position (  316.88,  -742.33) radius 5
  structsize 116 areaMin (  353.66, -1747.06) areaMax (  395.21, -1726.07) position (  375.06, -1727.75) radius 6
  structsize 108 areaMin (-1081.92,  -186.01) areaMax (-1006.73,   -97.03) position (-1025.52,  -165.96) radius 5
  structsize 108 areaMin ( -680.43,  -313.41) areaMax ( -655.25,  -283.69) position ( -658.77,  -307.87) radius 5
  structsize 100 areaMin ( -684.96,  -300.81) areaMax ( -659.28,  -270.09) position ( -674.89,  -273.62) radius 4
  structsize 108 areaMin ( -993.84,   382.85) areaMax ( -965.67,   428.54) position ( -975.84,   423.08) radius 5
  structsize 108 areaMin (  479.57,   123.71) areaMax (  519.35,   174.31) position (  486.46,   163.49) radius 5
  structsize 108 areaMin (  472.40,    91.66) areaMax (  509.79,   139.03) position (  473.10,   110.08) radius 5
type 5 ((type 5)) markers:
  structsize 148 areaMin ( -212.85,    73.43) areaMax ( -155.98,    93.09) position ( -160.60,    74.20) radius 10
  structsize 100 areaMin (-1464.35, -1485.48) areaMax (-1384.59, -1435.75) position (-1384.59, -1477.91) radius 4
  structsize 100 areaMin (   75.69,  -899.68) areaMax (  199.97,  -779.18) position (  174.75,  -779.18) radius 4
  structsize 100 areaMin (  223.52,  -889.93) areaMax (  261.23,  -788.17) position (  261.23,  -791.79) radius 4
  structsize 100 areaMin (  584.51,  -711.32) areaMax (  735.88,  -477.56) position (  613.72,  -711.32) radius 4
  structsize 132 areaMin ( -480.96,  -602.37) areaMax ( -176.24,  -498.08) position ( -189.35,  -602.37) radius 8
  structsize 100 areaMin ( -455.55,  -461.24) areaMax ( -376.44,  -420.04) position ( -376.44,  -438.17) radius 4
  structsize 132 areaMin ( -140.83,  -215.61) areaMax (   -5.07,   -98.03) position ( -122.64,   -98.03) radius 8
  structsize 132 areaMin ( -158.66,  -300.47) areaMax (  -92.68,  -223.49) position (  -92.68,  -264.82) radius 8
  structsize 132 areaMin ( -185.40,  -235.16) areaMax ( -105.01,  -106.69) position ( -129.00,  -235.16) radius 8
  structsize 132 areaMin ( -215.34,  -109.62) areaMax ( -122.64,    93.21) position ( -185.40,  -109.62) radius 8
  structsize 116 areaMin (   30.90,   -41.72) areaMax (  168.92,    75.65) position (  168.92,    37.97) radius 6
  structsize 100 areaMin ( -112.46,   -18.55) areaMax (   56.84,   173.59) position (   56.84,     2.45) radius 4
  structsize 132 areaMin (-1106.98,   120.05) areaMax ( -932.21,   266.53) position (-1089.33,   167.25) radius 8
  structsize 132 areaMin (-1145.15,     2.83) areaMax (-1041.13,   139.05) position (-1101.43,    40.71) radius 8
  structsize 132 areaMin (-1056.59,   -50.91) areaMax ( -945.04,   114.78) position (-1024.48,   114.78) radius 8
  structsize 100 areaMin (-1197.59,   128.81) areaMax (-1089.33,   250.33) position (-1145.15,   128.81) radius 4
  structsize 124 areaMin (    4.04,  -279.70) areaMax (  191.13,  -116.99) position (   85.14,  -250.42) radius 7
